1st flr sf,2nd flr sf,3ssn porch,bedroom abvgr,bsmt cond,bsmt exposure,bsmt full bath,bsmt half bath,bsmt qual,bsmt unf sf,bsmtfin sf 1,bsmtfin sf 2,bsmtfin type 1,bsmtfin type 2,central air,condition 1,condition 2,electrical,enclosed porch,exter cond,exter qual,exterior 1st,exterior 2nd,fence,fireplace qu,fireplaces,full bath,functional,garage area,garage cars,garage cond,garage finish,garage qual,garage yr blt,gr liv area,half bath,heating qc,id,kitchen abvgr,kitchen qual,land slope,lot area,lot frontage,lot shape,low qual fin sf,ms subclass,mas vnr area,misc val,mo sold,open porch sf,overall cond,overall qual,pid,paved drive,pool area,pool qc,saleprice,screen porch,street,totrms abvgrd,total bsmt sf,utilities,wood deck sf,year built,year remod/add,yr sold,conditions,exteriors,alley_0,alley_1,alley_2,bldg type_1fam,bldg type_2fmcon,bldg type_duplex,bldg type_twnhs,bldg type_twnhse,foundation_brktil,foundation_cblock,foundation_pconc,foundation_slab,foundation_stone,foundation_wood,garage type_2types,garage type_attchd,garage type_basment,garage type_builtin,garage type_carport,garage type_detchd,garage type_na,heating_gasa,heating_gasw,heating_grav,heating_othw,heating_wall,house style_1.5fin,house style_1.5unf,house style_1story,house style_2.5fin,house style_2.5unf,house style_2story,house style_sfoyer,house style_slvl,land contour_bnk,land contour_hls,land contour_low,land contour_lvl,lot config_corner,lot config_culdsac,lot config_fr2,lot config_fr3,lot config_inside,ms zoning_a (agr),ms zoning_c (all),ms zoning_fv,ms zoning_i (all),ms zoning_rh,ms zoning_rl,ms zoning_rm,mas vnr type_brkcmn,mas vnr type_brkface,mas vnr type_none,mas vnr type_stone,misc feature_elev,misc feature_gar2,misc feature_na,misc feature_othr,misc feature_shed,misc feature_tenc,neighborhood_blmngtn,neighborhood_blueste,neighborhood_brdale,neighborhood_brkside,neighborhood_clearcr,neighborhood_collgcr,neighborhood_crawfor,neighborhood_edwards,neighborhood_gilbert,neighborhood_greens,neighborhood_grnhill,neighborhood_idotrr,neighborhood_landmrk,neighborhood_meadowv,neighborhood_mitchel,neighborhood_names,neighborhood_npkvill,neighborhood_nwames,neighborhood_noridge,neighborhood_nridght,neighborhood_oldtown,neighborhood_swisu,neighborhood_sawyer,neighborhood_sawyerw,neighborhood_somerst,neighborhood_stonebr,neighborhood_timber,neighborhood_veenker,roof matl_clytile,roof matl_compshg,roof matl_membran,roof matl_tar&grv,roof matl_wdshake,roof matl_wdshngl,roof style_flat,roof style_gable,roof style_gambrel,roof style_hip,roof style_mansard,roof style_shed,sale type_cod,sale type_cwd,sale type_con,sale type_conld,sale type_conli,sale type_conlw,sale type_new,sale type_oth,sale type_wd 
483,504,0,2,3,1,0.0,0.0,3,96.0,387.0,0.0,5,1,1,1,1,5,0,3,3,10,11,0,0,0,1,8,264.0,1.0,3,1,3,1971.0,987,1,3,1044,1,3,3,1680,21.0,4,0,160,232.0,0,7,0,5,6,527451290,2,0,0,85400,0,1,4,483.0,4,0,1971,1971,2008,2,21,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1208,0,0,2,3,3,0.0,0.0,4,815.0,393.0,0.0,6,1,1,1,1,5,0,3,4,13,14,0,0,0,2,8,632.0,2.0,3,2,3,2005.0,1208,0,5,2752,1,4,3,7488,64.0,3,0,20,0.0,0,2,58,5,7,906380150,2,0,0,183600,0,1,6,1208.0,4,105,2005,2005,2006,2,27,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1288,728,0,4,0,0,0.0,0.0,0,0.0,0.0,0.0,NA,NA,1,0,1,5,0,3,4,10,11,0,3,1,1,5,576.0,2.0,3,1,3,1900.0,2016,0,5,807,1,3,3,26400,120.0,4,0,70,0.0,0,6,0,7,5,906226060,1,0,0,131000,0,1,7,0.0,4,0,1880,2007,2009,1,21,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
962,645,0,3,3,1,1.0,0.0,4,147.0,813.0,0.0,6,1,1,1,1,5,0,3,4,7,10,0,0,0,2,8,480.0,2.0,3,1,3,2000.0,1607,1,5,1177,1,4,3,2645,24.0,4,0,160,456.0,0,12,0,5,8,533236070,2,0,0,200000,0,1,7,960.0,4,169,1999,2000,2008,2,17,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1361,0,0,3,3,3,0.0,0.0,4,1327.0,24.0,0.0,6,1,1,1,1,5,0,3,4,13,14,0,0,0,2,8,610.0,2.0,3,2,3,2007.0,1361,0,5,1480,1,4,3,9627,74.0,4,0,20,0.0,0,6,50,5,7,907418040,2,0,0,193000,0,1,6,1351.0,4,0,2007,2007,2008,2,27,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1430,0,0,3,3,3,0.0,0.0,5,1430.0,0.0,0.0,1,1,1,1,1,5,0,3,3,13,14,0,0,0,2,8,624.0,2.0,3,2,3,2004.0,1430,0,5,324,1,4,3,10114,93.0,4,0,20,0.0,0,3,0,5,5,923202105,2,0,0,173500,0,1,7,1430.0,4,0,2004,2005,2010,2,27,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
624,720,0,4,3,1,0.0,0.0,3,624.0,0.0,0.0,1,1,0,1,1,5,96,3,3,3,2,0,0,0,1,8,513.0,3.0,2,1,2,1916.0,1344,0,2,1311,1,3,3,4571,34.0,4,0,70,0.0,0,5,0,5,5,902301140,2,0,0,98000,0,1,7,624.0,4,0,1916,1950,2008,2,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1121,0,0,3,3,1,1.0,0.0,3,470.0,651.0,0.0,3,1,1,0,1,5,0,3,3,13,14,3,0,0,1,8,480.0,2.0,3,1,3,1963.0,1121,0,3,770,1,3,3,8816,80.0,4,0,20,0.0,0,6,80,6,5,905101490,2,0,0,139000,0,1,5,1121.0,4,0,1963,1963,2009,1,27,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1285,0,0,3,3,1,0.0,0.0,3,660.0,0.0,0.0,1,1,1,1,1,5,0,3,3,11,12,3,3,1,1,8,528.0,2.0,3,2,3,1977.0,1285,1,5,2063,1,3,3,8197,71.0,4,0,20,148.0,0,4,0,5,6,905107140,2,0,0,143500,0,1,7,660.0,4,138,1977,1977,2007,2,23,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
764,783,0,3,3,2,0.0,0.0,4,732.0,24.0,0.0,6,1,1,1,1,5,0,3,3,13,14,0,0,0,2,8,614.0,2.0,3,1,3,2009.0,1547,1,5,69,1,4,3,8640,72.0,4,0,60,0.0,0,6,45,5,7,528458070,2,0,0,215200,0,1,7,756.0,4,169,2009,2009,2010,2,27,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
894,0,0,3,3,1,0.0,0.0,4,402.0,492.0,0.0,4,1,1,1,1,5,0,3,3,13,14,0,1,1,1,8,450.0,2.0,3,3,3,1968.0,894,0,4,2062,1,3,3,8724,109.0,4,0,20,0.0,0,5,0,5,5,905106150,2,0,0,129000,0,1,5,894.0,4,0,1968,1968,2007,2,27,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1659,0,0,2,3,1,1.0,0.0,4,343.0,1158.0,0.0,6,1,1,1,1,5,0,3,4,14,16,0,5,1,2,8,499.0,2.0,3,3,3,2000.0,1659,0,5,351,1,5,3,5664,40.0,3,0,120,0.0,0,10,59,5,8,527131030,2,0,0,278000,0,1,5,1501.0,4,212,2000,2000,2009,2,30,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1209,1044,0,3,3,3,0.0,0.0,5,1209.0,0.0,0.0,1,1,1,1,1,5,0,3,4,14,16,0,4,1,2,8,575.0,2.0,3,3,3,2005.0,2253,1,5,2393,1,5,3,12867,103.0,3,0,60,0.0,0,7,142,5,8,528142010,2,0,0,344133,0,1,8,1209.0,4,243,2005,2006,2006,2,30,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1187,0,0,3,3,1,1.0,0.0,4,233.0,935.0,0.0,5,1,1,1,1,5,0,4,3,10,11,4,0,0,2,8,420.0,2.0,3,3,3,1992.0,1187,0,5,12,1,3,3,7980,66.95277989337396,3,0,20,0.0,500,3,21,7,6,527165230,2,0,0,185000,0,1,6,1168.0,4,483,1992,2007,2010,2,21,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1056,0,0,3,3,2,1.0,0.0,3,0.0,1056.0,0.0,3,1,0,1,1,5,0,3,3,6,6,0,0,0,1,8,572.0,2.0,3,3,3,1955.0,1056,0,3,2339,1,3,3,34650,100.0,4,0,190,0.0,0,1,0,5,5,527250040,2,0,0,145000,0,1,5,1056.0,4,264,1955,1955,2006,2,12,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1453,0,0,3,3,1,1.0,0.0,3,141.0,1312.0,0.0,3,1,1,1,1,5,0,3,3,7,10,4,3,1,2,8,530.0,2.0,3,2,3,1961.0,1453,0,5,624,1,3,3,10573,92.0,3,0,20,3.0,0,4,49,6,6,535104120,2,0,0,187500,288,1,6,1453.0,4,0,1961,1961,2009,2,17,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
894,0,0,3,3,1,1.0,0.0,3,224.0,553.0,117.0,6,4,1,0,1,5,0,4,3,7,10,3,4,1,1,8,336.0,1.0,3,1,3,1973.0,894,0,5,86,1,3,3,8450,65.0,4,0,20,0.0,0,4,144,8,5,532376160,2,0,0,138500,0,1,5,894.0,4,416,1965,2009,2010,1,17,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1265,673,0,4,3,1,0.0,0.0,3,336.0,606.0,0.0,4,1,1,1,1,5,0,3,3,9,9,0,4,1,2,6,240.0,1.0,3,1,3,1937.0,1938,0,5,1534,1,4,5,11700,66.95277989337396,3,0,50,0.0,0,7,40,6,5,909277040,2,0,0,198000,0,1,7,942.0,4,0,1937,1995,2008,2,18,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1034,957,0,4,3,1,0.0,0.0,3,957.0,0.0,0.0,1,1,0,0,1,5,133,4,3,13,14,0,0,0,2,8,0.0,0.0,0,0,0,NA,1991,0,2,2243,2,3,3,8250,75.0,4,0,190,0.0,0,6,0,6,5,911103060,0,0,0,119600,0,1,9,957.0,4,0,1895,2006,2007,1,27,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
