1st flr sf,2nd flr sf,3ssn porch,alley,bedroom abvgr,bldg type,bsmt cond,bsmt exposure,bsmt full bath,bsmt half bath,bsmt qual,bsmt unf sf,bsmtfin sf 1,bsmtfin sf 2,bsmtfin type 1,bsmtfin type 2,central air,condition 1,condition 2,electrical,enclosed porch,exter cond,exter qual,exterior 1st,exterior 2nd,fence,fireplace qu,fireplaces,foundation,full bath,functional,garage area,garage cars,garage cond,garage finish,garage qual,garage type,garage yr blt,gr liv area,half bath,heating,heating qc,house style,id,kitchen abvgr,kitchen qual,land contour,land slope,lot area,lot config,lot frontage,lot shape,low qual fin sf,ms subclass,ms zoning,mas vnr area,mas vnr type,misc feature,misc val,mo sold,neighborhood,open porch sf,overall cond,overall qual,pid,paved drive,pool area,pool qc,roof matl,roof style,sale type,saleprice,screen porch,street,totrms abvgrd,total bsmt sf,utilities,wood deck sf,year built,year remod/add,yr sold
483,504,0,NA,2,Twnhs,3,1,0.0,0.0,3,96.0,387.0,0.0,5,1,Y,Norm,Norm,5,0,TA,TA,HdBoard,HdBoard,0,0,0,CBlock,1,Typ,264.0,1.0,3,1,3,1,1971.0,987,1,GasA,TA,2Story,1044,1,TA,Lvl,Gtl,1680,Inside,21.0,Reg,0,160,RM,232.0,3,0,0,7,BrDale,0,5,6,527451290,Y,0,0,CompShg,Gable,COD,85400,0,Pave,4,483.0,AllPub,0,1971,1971,2008
1208,0,0,NA,2,1Fam,3,3,0.0,0.0,4,815.0,393.0,0.0,6,1,Y,Norm,Norm,5,0,TA,Gd,VinylSd,VinylSd,0,0,0,PConc,2,Typ,632.0,2.0,3,2,3,5,2005.0,1208,0,GasA,Ex,1Story,2752,1,Gd,Lvl,Gtl,7488,Inside,64.0,IR1,0,20,RL,0.0,0,0,0,2,CollgCr,58,5,7,906380150,Y,0,0,CompShg,Gable,WD ,183600,0,Pave,6,1208.0,AllPub,105,2005,2005,2006
1288,728,0,NA,4,1Fam,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,Y,Feedr,Norm,5,0,TA,Gd,HdBoard,HdBoard,0,3,1,PConc,1,Mod,576.0,2.0,3,1,3,5,1900.0,2016,0,GasA,Ex,2Story,807,1,TA,Bnk,Gtl,26400,FR2,120.0,Reg,0,70,RL,0.0,0,0,0,6,SawyerW,0,7,5,906226060,P,0,0,CompShg,Gable,WD ,131000,0,Pave,7,0.0,AllPub,0,1880,2007,2009
962,645,0,Pave,3,Twnhs,3,1,1.0,0.0,4,147.0,813.0,0.0,6,1,Y,Norm,Norm,5,0,TA,Gd,MetalSd,MetalSd,0,0,0,PConc,2,Typ,480.0,2.0,3,1,3,1,2000.0,1607,1,GasA,Ex,2Story,1177,1,Gd,Lvl,Gtl,2645,Inside,24.0,Reg,0,160,FV,456.0,3,0,0,12,Somerst,0,5,8,533236070,Y,0,0,CompShg,Gable,ConLD,200000,0,Pave,7,960.0,AllPub,169,1999,2000,2008
1361,0,0,NA,3,1Fam,3,3,0.0,0.0,4,1327.0,24.0,0.0,6,1,Y,Norm,Norm,5,0,TA,Gd,VinylSd,VinylSd,0,0,0,PConc,2,Typ,610.0,2.0,3,2,3,5,2007.0,1361,0,GasA,Ex,1Story,1480,1,Gd,Lvl,Gtl,9627,Inside,74.0,Reg,0,20,RL,0.0,0,0,0,6,CollgCr,50,5,7,907418040,Y,0,0,CompShg,Gable,WD ,193000,0,Pave,6,1351.0,AllPub,0,2007,2007,2008
1430,0,0,NA,3,1Fam,3,3,0.0,0.0,5,1430.0,0.0,0.0,1,1,Y,Norm,Norm,5,0,TA,TA,VinylSd,VinylSd,0,0,0,PConc,2,Typ,624.0,2.0,3,2,3,5,2004.0,1430,0,GasA,Ex,1Story,324,1,Gd,Lvl,Gtl,10114,Inside,93.0,Reg,0,20,RL,0.0,0,0,0,3,Mitchel,0,5,5,923202105,Y,0,0,CompShg,Gable,WD ,173500,0,Pave,7,1430.0,AllPub,0,2004,2005,2010
624,720,0,Grvl,4,1Fam,3,1,0.0,0.0,3,624.0,0.0,0.0,1,1,N,Norm,Norm,5,96,TA,TA,AsbShng,AsbShng,0,0,0,BrkTil,1,Typ,513.0,3.0,2,1,2,1,1916.0,1344,0,GasA,Fa,2Story,1311,1,TA,Lvl,Gtl,4571,Inside,34.0,Reg,0,70,RM,0.0,0,0,0,5,OldTown,0,5,5,902301140,Y,0,0,CompShg,Gable,COD,98000,0,Pave,7,624.0,AllPub,0,1916,1950,2008
1121,0,0,NA,3,1Fam,3,1,1.0,0.0,3,470.0,651.0,0.0,3,1,Y,Feedr,Norm,5,0,TA,TA,VinylSd,VinylSd,3,0,0,PConc,1,Typ,480.0,2.0,3,1,3,1,1963.0,1121,0,GasA,TA,1Story,770,1,TA,Lvl,Gtl,8816,Corner,80.0,Reg,0,20,RL,0.0,0,0,0,6,Sawyer,80,6,5,905101490,Y,0,0,CompShg,Gable,WD ,139000,0,Pave,5,1121.0,AllPub,0,1963,1963,2009
1285,0,0,NA,3,1Fam,3,1,0.0,0.0,3,660.0,0.0,0.0,1,1,Y,Norm,Norm,5,0,TA,TA,Plywood,Plywood,3,3,1,CBlock,1,Typ,528.0,2.0,3,2,3,5,1977.0,1285,1,GasA,Ex,1Story,2063,1,TA,Lvl,Gtl,8197,Inside,71.0,Reg,0,20,RL,148.0,3,0,0,4,Sawyer,0,5,6,905107140,Y,0,0,CompShg,Gable,WD ,143500,0,Pave,7,660.0,AllPub,138,1977,1977,2007
764,783,0,NA,3,1Fam,3,2,0.0,0.0,4,732.0,24.0,0.0,6,1,Y,Norm,Norm,5,0,TA,TA,VinylSd,VinylSd,0,0,0,PConc,2,Typ,614.0,2.0,3,1,3,5,2009.0,1547,1,GasA,Ex,2Story,69,1,Gd,Lvl,Gtl,8640,Inside,72.0,Reg,0,60,FV,0.0,0,0,0,6,Somerst,45,5,7,528458070,Y,0,0,CompShg,Gable,Con,215200,0,Pave,7,756.0,AllPub,169,2009,2009,2010
894,0,0,NA,3,1Fam,3,1,0.0,0.0,4,402.0,492.0,0.0,4,1,Y,Norm,Norm,5,0,TA,TA,VinylSd,VinylSd,0,1,1,CBlock,1,Typ,450.0,2.0,3,3,3,5,1968.0,894,0,GasA,Gd,1Story,2062,1,TA,Lvl,Gtl,8724,Inside,109.0,Reg,0,20,RL,0.0,0,0,0,5,Sawyer,0,5,5,905106150,Y,0,0,CompShg,Gable,WD ,129000,0,Pave,5,894.0,AllPub,0,1968,1968,2007
1659,0,0,NA,2,TwnhsE,3,1,1.0,0.0,4,343.0,1158.0,0.0,6,1,Y,Norm,Norm,5,0,TA,Gd,CemntBd,CmentBd,0,5,1,PConc,2,Typ,499.0,2.0,3,3,3,5,2000.0,1659,0,GasA,Ex,1Story,351,1,Ex,Lvl,Gtl,5664,Inside,40.0,IR1,0,120,RL,0.0,0,0,0,10,StoneBr,59,5,8,527131030,Y,0,0,CompShg,Gable,WD ,278000,0,Pave,5,1501.0,AllPub,212,2000,2000,2009
1209,1044,0,NA,3,1Fam,3,3,0.0,0.0,5,1209.0,0.0,0.0,1,1,Y,Norm,Norm,5,0,TA,Gd,CemntBd,CmentBd,0,4,1,PConc,2,Typ,575.0,2.0,3,3,3,5,2005.0,2253,1,GasA,Ex,2Story,2393,1,Ex,Lvl,Gtl,12867,Corner,103.0,IR1,0,60,RL,0.0,0,0,0,7,NridgHt,142,5,8,528142010,Y,0,0,CompShg,Gable,New,344133,0,Pave,8,1209.0,AllPub,243,2005,2006,2006
1187,0,0,NA,3,1Fam,3,1,1.0,0.0,4,233.0,935.0,0.0,5,1,Y,Norm,Norm,5,0,Gd,TA,HdBoard,HdBoard,4,0,0,PConc,2,Typ,420.0,2.0,3,3,3,5,1992.0,1187,0,GasA,Ex,1Story,12,1,TA,Lvl,Gtl,7980,Inside,66.95277989337396,IR1,0,20,RL,0.0,0,2,500,3,Gilbert,21,7,6,527165230,Y,0,0,CompShg,Gable,WD ,185000,0,Pave,6,1168.0,AllPub,483,1992,2007,2010
1056,0,0,NA,3,2fmCon,3,2,1.0,0.0,3,0.0,1056.0,0.0,3,1,N,Norm,Norm,5,0,TA,TA,Wd Sdng,Wd Sdng,0,0,0,CBlock,1,Typ,572.0,2.0,3,3,3,5,1955.0,1056,0,GasA,TA,1Story,2339,1,TA,Bnk,Gtl,34650,Inside,100.0,Reg,0,190,RL,0.0,0,0,0,1,Gilbert,0,5,5,527250040,Y,0,0,CompShg,Hip,WD ,145000,0,Pave,5,1056.0,AllPub,264,1955,1955,2006
1453,0,0,NA,3,1Fam,3,1,1.0,0.0,3,141.0,1312.0,0.0,3,1,Y,Norm,Norm,5,0,TA,TA,MetalSd,MetalSd,4,3,1,CBlock,2,Typ,530.0,2.0,3,2,3,5,1961.0,1453,0,GasA,Ex,1Story,624,1,TA,Lvl,Gtl,10573,Corner,92.0,IR1,0,20,RL,3.0,3,0,0,4,NAmes,49,6,6,535104120,Y,0,0,CompShg,Hip,WD ,187500,288,Pave,6,1453.0,AllPub,0,1961,1961,2009
894,0,0,NA,3,1Fam,3,1,1.0,0.0,3,224.0,553.0,117.0,6,4,Y,RRAe,Norm,5,0,Gd,TA,MetalSd,MetalSd,3,4,1,CBlock,1,Typ,336.0,1.0,3,1,3,1,1973.0,894,0,GasA,Ex,1Story,86,1,TA,Lvl,Gtl,8450,Inside,65.0,Reg,0,20,RL,0.0,0,0,0,4,Sawyer,144,8,5,532376160,Y,0,0,CompShg,Gable,WD ,138500,0,Pave,5,894.0,AllPub,416,1965,2009,2010
1265,673,0,Grvl,4,1Fam,3,1,0.0,0.0,3,336.0,606.0,0.0,4,1,Y,Norm,Norm,5,0,TA,TA,WdShing,Wd Shng,0,4,1,CBlock,2,Min2,240.0,1.0,3,1,3,1,1937.0,1938,0,GasA,Ex,1.5Fin,1534,1,Gd,HLS,Mod,11700,Inside,66.95277989337396,IR1,0,50,RL,0.0,0,0,0,7,Crawfor,40,6,5,909277040,Y,0,0,CompShg,Gable,WD ,198000,0,Pave,7,942.0,AllPub,0,1937,1995,2008
1034,957,0,NA,4,2fmCon,3,1,0.0,0.0,3,957.0,0.0,0.0,1,1,N,Feedr,Norm,5,133,Gd,TA,VinylSd,VinylSd,0,0,0,CBlock,2,Typ,0.0,0.0,0,0,0,0,0.0,1991,0,GasA,Fa,2Story,2243,2,TA,Lvl,Gtl,8250,Inside,75.0,Reg,0,190,C (all),0.0,0,0,0,6,IDOTRR,0,6,5,911103060,N,0,0,CompShg,Gable,WD ,119600,0,Pave,9,957.0,AllPub,0,1895,2006,2007
672,252,0,NA,3,1Fam,3,2,0.0,0.0,3,672.0,0.0,0.0,1,1,Y,Artery,Norm,5,0,Gd,TA,MetalSd,MetalSd,3,1,1,CBlock,1,Typ,576.0,2.0,3,1,3,1,2003.0,924,0,GasA,Ex,1.5Fin,1957,1,TA,Lvl,Gtl,8064,Corner,60.0,Reg,0,50,RL,0.0,0,2,2000,7,NAmes,0,7,5,535450190,Y,0,0,CompShg,Gable,WD ,122900,0,Pave,6,672.0,AllPub,0,1949,2006,2007
2524,0,0,NA,4,1Fam,3,1,1.0,0.0,4,1420.0,1104.0,0.0,5,1,Y,PosN,Norm,5,0,TA,Gd,BrkFace,BrkFace,3,4,1,PConc,2,Typ,542.0,2.0,3,3,3,5,1981.0,2524,1,GasA,TA,1Story,380,1,Gd,Lvl,Gtl,9600,Inside,80.0,Reg,0,20,RL,0.0,0,0,0,7,NWAmes,120,5,8,527355150,Y,0,0,WdShngl,Hip,WD ,278000,0,Pave,9,2524.0,AllPub,474,1981,1981,2009
792,725,0,NA,3,1Fam,3,1,0.0,0.0,4,792.0,0.0,0.0,1,1,Y,Norm,Norm,5,0,TA,TA,BrkFace,Stucco,0,4,2,PConc,1,Typ,400.0,2.0,3,1,3,1,1931.0,1517,0,GasA,Fa,2Story,2860,1,Gd,HLS,Mod,11435,Corner,83.24555160142349,IR1,0,70,RL,0.0,0,0,0,6,Crawfor,0,7,8,909276010,Y,0,0,CompShg,Gable,WD ,230000,0,Pave,7,792.0,AllPub,0,1929,1950,2006
1494,0,0,NA,2,TwnhsE,4,3,1.0,0.0,4,0.0,437.0,1057.0,2,6,Y,Norm,Norm,5,0,Gd,Gd,BrkFace,BrkFace,0,4,1,PConc,1,Typ,481.0,2.0,3,3,3,5,1995.0,1494,1,GasA,Ex,1Story,2517,1,Ex,Lvl,Gtl,9549,CulDSac,30.0,IR1,0,120,RL,0.0,0,0,0,4,Veenker,30,5,8,533250130,Y,0,0,CompShg,Hip,WD ,270000,216,Pave,6,1494.0,AllPub,0,1995,1996,2006
948,0,0,NA,2,1Fam,3,1,0.0,0.0,3,507.0,441.0,0.0,5,1,Y,Norm,Norm,5,0,TA,TA,Wd Sdng,Wd Sdng,0,0,0,CBlock,1,Typ,410.0,2.0,3,1,3,1,1952.0,948,0,GasA,TA,1Story,1933,1,TA,Lvl,Gtl,10950,Inside,60.0,Reg,0,20,RL,0.0,0,0,0,4,NAmes,48,6,6,535302070,N,0,0,CompShg,Hip,WD ,125000,0,Pave,5,948.0,AllPub,0,1952,1952,2007
1718,0,0,NA,3,1Fam,3,4,1.0,0.0,5,417.0,1288.0,0.0,6,1,Y,Norm,Norm,5,0,TA,Gd,VinylSd,VinylSd,0,4,1,PConc,2,Typ,826.0,3.0,3,2,3,5,2007.0,1718,0,GasA,Ex,1Story,820,1,Gd,Lvl,Gtl,10637,Inside,79.0,Reg,0,20,RL,336.0,1,0,0,9,CollgCr,44,5,8,906340110,Y,0,0,CompShg,Hip,WD ,297000,0,Pave,7,1705.0,AllPub,208,2007,2008,2009
1142,0,0,NA,2,1Fam,3,4,0.0,0.0,4,160.0,0.0,0.0,1,1,Y,Norm,Norm,5,64,TA,TA,Wd Sdng,Wd Sdng,0,4,1,CBlock,1,Typ,384.0,1.0,3,2,3,4,1958.0,1142,0,GasA,Fa,1Story,675,1,TA,HLS,Mod,9000,Inside,80.0,IR1,0,20,RL,82.0,3,0,0,4,NAmes,28,6,6,535426150,Y,0,0,Tar&Grv,Flat,WD ,113500,0,Pave,5,160.0,AllPub,0,1958,1958,2009
925,550,0,NA,4,TwnhsE,3,1,0.0,0.0,3,36.0,548.0,173.0,5,3,Y,Norm,Norm,5,0,TA,TA,CemntBd,CmentBd,0,3,1,PConc,2,Typ,336.0,1.0,3,2,3,5,1977.0,1475,0,GasA,Ex,2Story,2910,1,TA,Lvl,Gtl,2665,Inside,41.0,Reg,0,160,RM,0.0,0,0,0,7,MeadowV,26,6,5,923225240,Y,0,0,CompShg,Gable,WD ,127000,0,Pave,6,757.0,AllPub,104,1977,1977,2006
1844,0,0,NA,3,1Fam,3,1,0.0,0.0,4,1139.0,705.0,0.0,4,1,Y,Norm,Norm,5,0,TA,TA,Plywood,Plywood,3,3,1,CBlock,2,Typ,546.0,2.0,3,2,3,5,1977.0,1844,0,GasA,Ex,1Story,21,1,TA,Lvl,Gtl,11751,Inside,105.0,IR1,0,20,RL,480.0,3,0,0,1,NWAmes,122,6,6,527358140,Y,0,0,CompShg,Hip,COD,190000,0,Pave,7,1844.0,AllPub,0,1977,1977,2010
1242,0,0,NA,3,1Fam,3,1,0.0,0.0,3,326.0,916.0,0.0,5,1,Y,Norm,Norm,5,0,TA,TA,HdBoard,HdBoard,0,3,1,CBlock,1,Typ,528.0,2.0,3,1,3,5,1973.0,1242,1,GasA,Fa,1Story,1873,1,TA,Lvl,Gtl,9600,Inside,80.0,Reg,0,20,RL,320.0,3,0,0,9,NWAmes,0,6,7,534177210,Y,0,0,CompShg,Hip,WD ,175500,0,Pave,6,1242.0,AllPub,0,1973,1973,2007
990,0,0,NA,3,1Fam,4,1,1.0,0.0,4,570.0,420.0,0.0,6,1,Y,Norm,Norm,5,0,Gd,TA,VinylSd,VinylSd,0,0,0,PConc,1,Typ,384.0,1.0,3,1,3,1,1995.0,990,0,GasA,Ex,1Story,2125,1,TA,Lvl,Gtl,8428,Inside,60.0,IR2,0,20,RL,0.0,0,0,0,7,CollgCr,0,7,5,907135050,Y,0,0,CompShg,Gable,WD ,146000,0,Pave,5,990.0,AllPub,256,1994,1994,2007
1256,0,0,NA,3,1Fam,3,1,1.0,0.0,3,136.0,830.0,290.0,4,2,Y,Norm,Norm,5,0,TA,Gd,HdBoard,HdBoard,0,0,0,CBlock,1,Typ,276.0,1.0,3,3,3,5,1965.0,1256,1,GasA,Gd,1Story,1489,1,TA,Lvl,Gtl,9937,Inside,75.0,Reg,0,20,RL,0.0,0,0,0,6,Edwards,68,6,5,908102260,Y,0,0,CompShg,Gable,WD ,147500,0,Pave,6,1256.0,AllPub,736,1965,1965,2008
2076,0,0,NA,2,1Fam,4,4,1.0,0.0,5,690.0,1386.0,0.0,6,1,Y,Norm,Norm,5,0,TA,Ex,VinylSd,VinylSd,0,4,1,PConc,2,Typ,850.0,3.0,3,3,3,5,2006.0,2076,1,GasA,Ex,1Story,2383,1,Ex,Lvl,Gtl,13891,Inside,107.0,Reg,0,20,RL,0.0,0,0,0,9,NridgHt,229,5,10,528110050,Y,0,0,CompShg,Gable,New,465000,0,Pave,7,2076.0,AllPub,216,2006,2006,2006
1110,0,0,NA,1,1Fam,3,3,1.0,0.0,4,0.0,1097.0,0.0,6,1,Y,Norm,Norm,5,0,Gd,TA,Plywood,Plywood,0,3,1,PConc,1,Typ,602.0,2.0,3,3,3,5,1978.0,1110,0,GasA,Ex,SFoyer,983,1,Gd,Lvl,Gtl,9101,Corner,83.24555160142349,IR1,0,85,RL,104.0,3,0,0,7,Mitchel,30,6,5,923275040,Y,0,0,CompShg,Gable,WD ,165500,0,Pave,4,1097.0,AllPub,303,1978,1978,2009
1050,745,0,Grvl,4,1Fam,3,1,0.0,0.0,3,1050.0,0.0,0.0,1,1,N,Norm,Norm,3,0,TA,TA,MetalSd,MetalSd,0,0,0,BrkTil,2,Typ,352.0,1.0,3,1,2,5,1954.0,1795,0,GasA,Ex,1.5Fin,1325,1,TA,Lvl,Gtl,12150,Inside,81.0,Reg,0,50,RM,335.0,3,0,0,11,OldTown,0,5,5,902406090,Y,0,0,CompShg,Gable,WD ,131500,0,Pave,7,1050.0,AllPub,0,1954,1954,2008
1040,0,0,NA,3,1Fam,3,1,1.0,0.0,3,134.0,906.0,0.0,3,1,Y,Norm,Norm,5,0,TA,TA,HdBoard,HdBoard,0,0,0,CBlock,1,Typ,384.0,1.0,3,1,3,1,1965.0,1040,0,GasA,Ex,1Story,1378,1,TA,Lvl,Gtl,11200,Inside,70.0,Reg,0,20,RL,0.0,0,0,0,2,Sawyer,0,5,5,905102170,Y,0,0,CompShg,Hip,WD ,129500,0,Pave,5,1040.0,AllPub,0,1965,1965,2008
983,890,0,NA,4,1Fam,2,1,0.0,0.0,3,398.0,210.0,0.0,2,1,Y,Norm,Norm,5,207,TA,TA,BrkFace,Stucco,0,4,2,PConc,1,Typ,786.0,2.0,3,3,2,1,1935.0,1873,1,GasA,TA,2Story,1537,1,TA,HLS,Mod,9670,Inside,100.0,IR1,0,70,RL,40.0,1,0,0,6,Crawfor,0,6,8,909281110,Y,0,0,CompShg,Gable,WD ,257076,0,Pave,9,608.0,AllPub,0,1935,1950,2008
984,620,0,Grvl,3,1Fam,3,1,0.0,0.0,3,156.0,408.0,420.0,2,4,Y,Norm,Norm,5,0,TA,TA,Wd Sdng,Wd Sdng,0,0,0,CBlock,2,Min2,660.0,2.0,3,1,3,1,1977.0,1604,0,GasA,Ex,1.5Fin,905,1,TA,Lvl,Gtl,10998,Inside,60.0,Reg,0,50,RL,0.0,0,0,0,7,Edwards,68,5,5,909101140,Y,0,0,CompShg,Gable,WD ,117000,0,Pave,6,984.0,AllPub,0,1941,1960,2009
851,651,0,NA,3,1Fam,3,1,0.0,0.0,4,776.0,0.0,0.0,1,1,Y,Norm,Norm,5,112,Fa,TA,Stucco,Wd Shng,3,4,1,BrkTil,1,Typ,270.0,1.0,3,2,3,5,1931.0,1502,1,GasA,TA,2Story,1532,1,TA,HLS,Mod,7200,Inside,60.0,Reg,0,70,RL,0.0,0,0,0,2,Crawfor,0,6,7,909275050,P,0,0,CompShg,Gable,WD ,149000,0,Pave,6,776.0,AllPub,0,1931,2000,2008
1063,0,0,NA,3,1Fam,3,1,1.0,0.0,3,412.0,354.0,290.0,3,2,Y,Norm,Norm,5,164,TA,TA,HdBoard,HdBoard,3,0,0,CBlock,1,Typ,280.0,1.0,3,2,3,5,1954.0,1063,0,GasA,TA,1Story,132,1,TA,Lvl,Gtl,9920,Inside,80.0,Reg,0,20,RL,110.0,1,0,0,2,NAmes,0,5,5,534475100,Y,0,0,CompShg,Gable,WD ,128000,0,Pave,6,1056.0,AllPub,0,1954,1954,2010
764,862,0,NA,2,Twnhs,3,1,0.0,0.0,4,764.0,0.0,0.0,1,1,Y,Norm,Norm,5,0,TA,Gd,VinylSd,Wd Shng,0,0,0,PConc,2,Typ,474.0,2.0,3,2,3,3,2003.0,1626,1,GasA,Ex,2Story,1078,1,Gd,Lvl,Gtl,2448,Inside,36.0,Reg,0,160,RL,106.0,1,0,0,10,NridgHt,27,5,7,528188090,Y,0,0,CompShg,Gable,WD ,155000,0,Pave,6,764.0,AllPub,0,2003,2004,2008
768,756,0,NA,2,TwnhsE,3,1,0.0,0.0,4,403.0,353.0,0.0,6,1,Y,Norm,Norm,5,0,TA,Gd,MetalSd,MetalSd,0,0,0,PConc,2,Typ,440.0,2.0,3,1,3,1,2000.0,1524,1,GasA,Ex,2Story,2511,1,Gd,Lvl,Gtl,2998,Inside,66.95277989337396,Reg,0,160,FV,513.0,3,0,0,6,Somerst,32,5,6,533221080,Y,0,0,CompShg,Gable,WD ,166000,0,Pave,4,756.0,AllPub,0,2000,2000,2006
